question,votes,tags
What does the “yield” keyword do?,10811,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6533,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6423,python operators ternary-operator conditional-operator
What are metaclasses in Python?,5997,python oop metaclass python-datamodel
How do I check whether a file exists without exceptions?,5932,python file file-exists
How do I merge two dictionaries in a single expression in Python (taking union of dictionaries)?,5312,python dictionary merge
How to execute a program or call a system command from Python?,5124,python shell terminal subprocess command
How can I safely create a nested directory?,4527,python exception path directory operating-system
Accessing the index in 'for' loops?,3907,python loops list
How to make a flat list out of list of lists?,3802,python list multidimensional-array flatten
Difference between staticmethod and classmethod,3791,python oop methods python-decorators
Understanding slice notation,3629,python list slice iterable
Does Python have a string 'contains' substring method?,3597,python string substring contains
How do I list all files of a directory?,3468,python directory
Finding the index of an item in a list,3454,python list indexing
How do I sort a dictionary by value?,3418,python sorting dictionary
Iterating over dictionaries using 'for' loops,3369,python dictionary
Using global variables in a function,3277,python global-variables scope
How do I check if a list is empty?,3232,python list
How to get the current time in Python,3124,python datetime time
What is the difference between Python's list methods append and extend?,3114,python list data-structures append extend
Catch multiple exceptions in one line (except block),2983,python exception exception-handling
Difference between __str__ and __repr__?,2911,python magic-methods repr
How can I make a time delay in Python? [duplicate],2853,python delay sleep timedelay
How to make function decorators and chain them together?,2842,python decorator python-decorators
How can I add new keys to a dictionary?,2834,python dictionary lookup
How do I copy a file in Python?,2782,python file copy filesystems file-copying
How do I pass a variable by reference?,2779,python reference parameter-passing pass-by-reference
How do I concatenate two lists in Python?,2778,python list concatenation
List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,2749,python list copy clone
“Least Astonishment” and the Mutable Default Argument,2740,python language-design default-parameters least-astonishment
Understanding Python super() with __init__() methods [duplicate],2683,python class oop inheritance super
Check if a given key already exists in a dictionary,2681,python dictionary
Convert bytes to a string,2673,python string python-3.x
How can I install pip on Windows?,2594,python windows installation pip easy-install
What is __init__.py for?,2576,python module package python-packaging
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2550,python syntax parameter-passing variadic-functions argument-unpacking
How to iterate over rows in a DataFrame in Pandas,2442,python pandas rows dataframe
How do you split a list into evenly sized chunks?,2440,python list split chunks
Manually raising (throwing) an exception in Python,2421,python exception
Find current directory and file's directory [duplicate],2376,python directory
How to delete a file or folder?,2373,python file-io directory delete-file
How do I parse a string to a float or int?,2372,python parsing floating-point type-conversion integer
How to access environment variable values?,2342,python environment-variables
How to print colored text in Python,2341,python terminal output ansi-colors
How do you change the size of figures drawn with matplotlib?,2338,python graph matplotlib plot visualization
Converting string into datetime,2330,python datetime
How to select rows from a DataFrame based on column values,2315,python pandas dataframe
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2290,python performance python-3.x range python-internals
How do I get a substring of a string in Python?,2285,python string substring
